UK000070765,20150130,PRCP,92,,,E,
UK000070765,20150130,TAVG,27,H,,S,
UK000070765,20150131,TMAX,19,,,E,
UK000070765,20150131,TMIN,19,,,E,
UK000070765,20150131,PRCP,34,,,E,
UK000070765,20150131,TAVG,27,H,,S,
UK000070765,20150201,TMAX,32,,,E,
UK000070765,20150201,TMIN,-5,,,E,
UK000070765,20150201,PRCP,6,,,E,
UK000070765,20150201,TAVG,5,H,,S,
UK000070765,20150202,TMAX,37,,,E,
UK000070765,20150202,TMIN,-7,,,E,
UK000070765,20150202,PRCP,18,,,E,
UK000070765,20150202,TAVG,3,H,,S,
UK000070765,20150203,TMAX,46,,,E,
UK000070765,20150203,TMIN,-4,,,E,
UK000070765,20150203,PRCP,2,,,E,
UK000070765,20150203,TAVG,11,H,,S,
UK000070765,20150204,TMAX,71,,,E,
UK000070765,20150204,TMIN,-15,,,E,
UK000070765,20150204,PRCP,6,,,E,
UK000070765,20150204,TAVG,16,H,,S,
UK000070765,20150205,TMAX,74,,,E,
UK000070765,20150205,TMIN,12,,,E,
UK000070765,20150205,PRCP,4,,,E,
UK000070765,20150205,TAVG,44,H,,S,
UK000070765,20150206,TMAX,74,,,E,
UK000070765,20150206,TMIN,26,,,E,
UK000070765,20150206,PRCP,0,,,E,
UK000070765,20150206,TAVG,45,H,,S,
UK000070765,20150207,TMAX,96,,,E,
UK000070765,20150207,TMIN,19,,,E,
UK000070765,20150207,PRCP,4,,,E,
UK000070765,20150207,TAVG,53,H,,S,
UK000070765,20150208,TMAX,104,,,E,
UK000070765,20150208,TMIN,18,,,E,
UK000070765,20150208,PRCP,0,,,E,
UK000070765,20150208,TAVG,56,H,,S,
UK000070765,20150209,TMAX,87,,,E,
UK000070765,20150209,TMIN,50,,,E,
UK000070765,20150209,PRCP,0,,,E,
UK000070765,20150209,TAVG,70,H,,S,
UK000070765,20150210,TMAX,72,,,E,
UK000070765,20150210,TMIN,48,,,E,
UK000070765,20150210,PRCP,0,,,E,
UK000070765,20150210,TAVG,56,H,,S,
UK000070765,20150211,TMAX,85,,,E,
UK000070765,20150211,TMIN,3,,,E,
UK000070765,20150211,PRCP,2,,,E,
UK000070765,20150211,TAVG,31,H,,S,
UK000070765,20150212,TMAX,63,,,E,
UK000070765,20150212,TMIN,14,,,E,
UK000070765,20150212,PRCP,0,,,E,
UK000070765,20150212,TAVG,47,H,,S,
UK000070765,20150213,TMAX,73,,,E,
UK000070765,20150213,TMIN,44,,,E,
UK000070765,20150213,PRCP,0,,,E,
UK000070765,20150213,TAVG,47,H,,S,
UK000070765,20150214,TMAX,75,,,E,
UK000070765,20150214,TMIN,18,,,E,
